tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037294610,1888,97,161,1,1352,37,423,309,19,53,2,32
06037294620,2192,102,210,0,1286,46,389,352,26,51,0,18
06037294701,1500,57,105,0,1361,267,576,184,54,54,0,44
06037294810,1567,40,126,1,932,8,360,198,1,24,1,9
06037294820,1400,38,113,0,1200,64,359,196,1,13,0,10
06037294830,1723,44,152,4,707,61,307,282,10,71,2,21
06037294900,1186,45,130,0,553,48,186,260,11,36,2,26
06037295103,1978,96,167,3,197,20,59,744,27,42,4,37
06037296210,1864,38,157,0,596,21,417,260,1,22,0,4
06037296220,820,33,46,0,605,23,132,77,9,24,1,49
06037296300,1312,109,88,0,155,31,131,328,5,37,5,8
06037296401,932,86,96,0,141,3,33,395,0,18,0,11
06037296402,1896,125,168,0,120,6,144,492,1,28,1,6
06037296500,2702,127,251,3,716,59,403,582,5,83,1,25
06037296600,3390,142,282,2,1437,172,668,574,8,103,5,23
06037296901,2597,79,220,1,1103,17,474,452,2,54,1,7
06037296902,2131,100,157,0,651,36,270,392,1,37,0,8
06037297000,2588,158,200,0,254,11,136,795,34,44,0,36
06037297110,2369,66,178,2,747,455,670,336,20,37,1,13
06037297120,1953,72,175,1,559,43,519,308,3,33,0,6
06037297201,2174,72,194,1,318,26,434,363,4,48,2,4
06037297202,1997,58,163,0,122,3,303,415,11,65,0,1
06037297300,758,48,69,0,155,3,68,213,3,23,1,6
06037297400,1469,104,119,1,130,7,60,670,9,53,2,10
06037297500,2411,166,186,1,262,5,99,721,4,75,2,11
06037297601,752,45,46,0,441,17,69,169,0,59,0,10
06037297602,2074,79,188,1,257,11,141,551,2,56,1,10
06037701100,28,1,3,0,1,7,0,9,0,0,0,0
06037800204,1071,52,95,2,129,15,69,298,47,34,0,37
06037930200,5,9,0,0,8,0,4,1,0,2,1,0
06037930401,1125,93,74,0,169,98,147,237,5,64,2,11
06037980008,176,148,5,0,445,71,173,14,24,22,2,31
06037980009,35,68,0,3,325,120,52,3,8,21,8,28
06037980010,106,34,6,0,303,20,10,24,4,18,11,11
